district,year,office,candidate,party,writein,candidatevotes,totalvotes
kentucky,2016,US Senate,Rand Paul,republican,FALSE,1090177,1903465
kentucky,2016,US Senate,NA,NA,TRUE,6,1903465
kentucky,2016,US Senate,Jim Gray,democrat,FALSE,813246,1903465
kentucky,2016,US Senate,NA,NA,TRUE,36,1903465
louisiana,2016,US Senate,"Charles W. Boustany, Jr.",republican,FALSE,298008,1997218
louisiana,2016,US Senate,Derrick Edwards,democrat,FALSE,51774,1997218
louisiana,2016,US Senate,"M. V. ""Vinny""Mendoza",democrat,FALSE,4927,1997218
louisiana,2016,US Senate,John Fleming,republican,FALSE,204026,1997218
louisiana,2016,US Senate,Caroline Fayard,democrat,FALSE,240917,1997218
louisiana,2016,US Senate,Peter Williams,democrat,FALSE,6855,1997218
louisiana,2016,US Senate,LeRoy Gillam,libertarian,FALSE,4067,1997218
louisiana,2016,US Senate,"""Rob"" Maness",republican,FALSE,90856,1997218
louisiana,2016,US Senate,Kaitlin Marone,none,FALSE,4108,1997218
louisiana,2016,US Senate,Joshua Pellerin,democrat,FALSE,7395,1997218
louisiana,2016,US Senate,"William Robert Lang, Jr.",other,FALSE,1424,1997218
louisiana,2016,US Senate,Beryl Billiot,none,FALSE,19352,1997218
louisiana,2016,US Senate,Arden Wells,none,FALSE,1483,1997218
louisiana,2016,US Senate,Troy Hebert,none,FALSE,9503,1997218
louisiana,2016,US Senate,John Kennedy,republican,FALSE,536191,1997218
louisiana,2016,US Senate,"Gregory Taylor, Jr.",other,FALSE,1151,1997218
louisiana,2016,US Senate,Thomas P. Clements,libertarian,FALSE,11370,1997218
louisiana,2016,US Senate,Gary Landrieu,democrat,FALSE,45587,1997218
louisiana,2016,US Senate,Foster Campbell,democrat,FALSE,347816,1997218
louisiana,2016,US Senate,Abhay Patel,republican,FALSE,1576,1997218
louisiana,2016,US Senate,"""Joseph"" Cao",republican,FALSE,21019,1997218
louisiana,2016,US Senate,David Duke,republican,FALSE,58606,1997218
louisiana,2016,US Senate,"Donald ""Crawdaddy"" Crawford",republican,FALSE,25523,1997218
