district,year,office,candidate,party,writein,candidatevotes,totalvotes,
california18,2016,US House,Anna G. Eshoo,democrat,FALSE,230460,323930,
california19,2016,US House,Zoe Lofgren,democrat,FALSE,181802,245863,
california19,2016,US House,G. Burt Lancaster,republican,FALSE,64061,245863,
california20,2016,US House,Casey Lucius,republican,FALSE,74811,255791,
california20,2016,US House,Jimmy Panetta,democrat,FALSE,180980,255791,
california21,2016,US House,David G. Valadao,republican,FALSE,75126,132408,
california21,2016,US House,Emilio Huerta,democrat,FALSE,57282,132408,
california22,2016,US House,Louie J. Campos,democrat,FALSE,76211,234966,
california22,2016,US House,Devin Nunes,republican,FALSE,158755,234966,
california23,2016,US House,Kevin McCarthy,republican,FALSE,167116,241584,
california23,2016,US House,Wendy Reed,democrat,FALSE,74468,241584,
california24,2016,US House,Salud Carbajal,democrat,FALSE,166034,310814,
california24,2016,US House,Justin Donald Fareed,republican,FALSE,144780,310814,
california25,2016,US House,Stephen Knight,republican,FALSE,138755,261161,
california25,2016,US House,Bryan Caforio,democrat,FALSE,122406,261161,
california26,2016,US House,Rafael A. Dagnesses,republican,FALSE,111059,280307,
california26,2016,US House,Julia Brownley,democrat,FALSE,169248,280307,
california27,2016,US House,Jack Orswell,republican,FALSE,81655,250632,
california27,2016,US House,Judy Chu,democrat,FALSE,168977,250632,
california28,2016,US House,Lenore Solis,republican,FALSE,59526,270409,
california28,2016,US House,Adam B. Schiff,democrat,FALSE,210883,270409,
california29,2016,US House,Tony C_rdenas,democrat,FALSE,128407,171824,
california29,2016,US House,Richard Alarcon,democrat,FALSE,43417,171824,
california30,2016,US House,Mark Reed,republican,FALSE,77325,282604,
california30,2016,US House,Brad Sherman,democrat,FALSE,205279,282604,
california31,2016,US House,Pete Aguilar,democrat,FALSE,121070,215936,
california31,2016,US House,Paul Chabot,republican,FALSE,94866,215936,
california32,2016,US House,Grace F. Napolitano,democrat,FALSE,114926,186646,
california32,2016,US House,Roger Hern_ndez,democrat,FALSE,71720,186646,
california33,2016,US House,Kenneth W. Wright,republican,FALSE,110822,330219,
california33,2016,US House,Ted Lieu,democrat,FALSE,219397,330219,
california34,2016,US House,Adrienne Nicole Edwards,democrat,FALSE,36314,159156,
california34,2016,US House,Xavier Becerra,democrat,FALSE,122842,159156,
california35,2016,US House,Tyler Fischella,republican,FALSE,47309,171353,
california35,2016,US House,Norma J. Torres,democrat,FALSE,124044,171353,
california36,2016,US House,Jeff Stone,republican,FALSE,88269,232617,
california36,2016,US House,Raul Ruiz,democrat,FALSE,144348,232617,
california37,2016,US House,Karen Bass,democrat,FALSE,192490,237272,
california37,2016,US House,Chris Blake Wiggins,democrat,FALSE,44782,237272,
california38,2016,US House,Linda T. S_nchez,democrat,FALSE,163590,232114,
california38,2016,US House,Ryan Downing,republican,FALSE,68524,232114,
