districtID,totalPop,male,female,medianAge,18andOver,65andOver,singleRace,black,nativeAmericanAlaskan,asian,pacificIslander,otherRace,multiRace,hispanic,nativeBorn,foreignBorn,
california38,716331,351312,365019,37.3,557180,107550,692376,26545,5145,122674,3907,242005,23955,439296,502919,213412,
california39,726541,354671,371870,38.4,568249,111862,695543,19667,5376,238123,919,64951,30998,242318,492050,234491,
california40,716470,360732,355738,32.3,521975,67423,699198,32673,4818,16858,721,233635,17272,627822,423386,293084,
california41,775626,381077,394549,31.0,568074,73535,742944,69240,4023,52523,1350,226903,32682,485439,582636,192990,
california42,826801,416463,410338,34.8,595541,99510,784410,51664,5827,72564,2543,122252,42391,343578,666223,160578,
california43,753696,365298,388398,35.8,576853,92544,723173,160048,4743,104116,2583,143823,30523,364583,511074,242622,
california44,725177,354717,370460,32.7,523521,75324,705462,111873,4247,36898,7805,223763,19715,519448,494768,230409,
california45,797608,390442,407166,39.5,626150,122823,757484,12515,2200,203292,1134,42404,40124,159203,564493,233115,
california46,735139,369917,365222,32.7,554465,74590,717724,16625,4291,87238,906,188633,17415,496851,461119,274020,
california47,710853,350075,360778,37.5,563394,91255,678993,54180,4766,164178,5794,86152,31860,242234,512822,198031,
california48,719486,357234,362252,42.6,584560,127774,686738,12424,2217,146976,2095,63570,32748,148913,540864,178622,
california49,731513,365247,366266,39.5,570223,122829,693385,21682,3291,58447,2834,34788,38128,183459,598736,132777,
california50,751551,372451,379100,37.5,574550,112208,714725,17983,8873,37033,4939,44964,36826,246319,607503,144048,
california51,747510,378733,368777,33.2,558662,88372,721661,51898,4579,59053,3125,99723,25849,532365,495315,252195,
california52,767172,393839,373333,37.0,616348,112620,719998,27211,3142,153271,2180,28270,47174,115282,593985,173187,
california53,796701,396902,399799,34.9,631792,99470,746752,63941,2703,114377,4094,47671,49949,274402,610967,185734,
colorado1,420311,421186,35.1,676675,100994,810034,65739,7236,29889,1253,46922,31463,227592,731973,109524,
colorado2,812357,408573,403784,37.7,655225,122089,783875,7708,3519,25225,265,13391,28482,92806,745959,66398,
colorado3,753595,377844,375751,40.4,590804,140186,737554,7103,17765,6997,160,30019,16041,187724,707079,46516,
colorado4,836061,424597,411464,37.3,628396,116803,807232,13167,5711,20314,1339,16855,28829,178614,774173,61888,
colorado5,815466,417279,398187,36.0,627818,115313,767361,48818,6866,21569,2631,26409,48105,135271,761388,54078,
colorado6,835273,415318,419955,37.0,629193,101182,795042,81416,7607,51858,1486,38133,40231,177001,712053,123220,
colorado7,801315,400839,400476,36.4,620715,111288,766996,13627,6442,24425,451,25102,34319,236119,713758,87557,
connecticut1,346571,368478,40.4,564374,124852,688275,111042,1420,38270,404,40166,26774,125592,609040,106009,
connecticut2,699657,348287,351370,42.5,570870,126055,671959,29961,2344,24302,46,18801,27698,61938,647443,52214,
connecticut3,712272,344386,367886,39.9,576540,124880,690928,104950,1242,32902,64,37368,21344,114435,618769,93503,
connecticut4,739090,359249,379841,40.6,570480,115192,715289,89713,1848,44292,327,52346,23801,146040,575234,163856,
connecticut5,706597,342040,364557,41.9,555335,122168,684824,55886,2653,26089,176,46527,21773,141805,601917,104680,
delaware1,467924,499247,41.1,764021,180756,941343,217594,4397,39023,896,19652,25828,91975,875941,91230,
district_of_colombia1,334208,368247,33.9,575241,85626,677288,319777,1932,27538,397,30897,25167,79249,604609,97846,
florida1,393809,390723,38.9,616082,132405,750271,106063,4133,22245,1815,14200,34261,53522,739231,45301,
florida2,733749,374666,359083,42.2,591453,148454,711014,92184,3345,12107,579,15539,22735,49645,696460,37289,
florida3,758275,374082,384193,37.7,601561,128208,732886,127519,1709,25902,426,11718,25389,79676,696741,61534,
florida4,819177,406302,412875,40.1,648028,137230,792582,74267,2692,36847,65,15921,26595,72602,725340,93837,
florida5,738862,353345,385517,34.7,569060,98265,716135,351034,2734,20493,344,9945,22727,64891,680069,58793,
florida6,781896,380007,401889,47.6,641342,200306,768302,82045,2596,14167,120,28067,13594,104987,718048,63848,
florida7,786041,385458,400583,36.8,632447,114061,760679,87476,1127,42337,619,46104,25362,211449,656234,129807,
florida8,768139,372615,395524,48.5,631073,195565,738736,72300,2505,16407,875,7354,29403,87477,702420,65719,
florida9,902812,438531,464281,38.3,702786,145575,870756,111993,2464,27123,16,58851,32056,386712,755397,147415,
florida10,839504,409639,429865,35.3,636002,97785,812336,237772,3835,41302,930,49281,27168,238792,633733,205771,
florida11,789849,381162,408687,55.7,668896,281669,771737,55539,2713,8909,31,10931,18112,89397,736317,53532,
florida12,792410,376610,415800,46.6,637648,193965,766744,38884,2834,20897,588,16698,25666,107036,706500,85910,
florida13,735935,360038,375897,47.4,618898,171584,710853,91631,2073,26641,756,9233,25082,78500,649079,86856,
florida14,782973,384896,398077,36.3,611438,104514,743216,140825,1824,35850,0,32896,39757,249606,612105,170868,
florida15,808723,397047,411676,38.3,629350,132949,782201,127840,3034,24983,379,27821,26522,185313,697015,111708,
florida16,852096,409284,442812,47.9,691520,226843,832416,75971,2196,19208,480,25385,19680,157171,733512,118584,
florida17,789236,389995,399241,51.5,650277,255782,772023,56190,1324,10685,497,22463,17213,130252,708035,81201,
florida18,780772,377473,403299,48.2,641313,201423,756908,104795,381,17963,525,21936,23864,128302,659459,121313,
florida19,836359,410630,425729,51.5,698285,264638,825958,67922,1118,15582,491,29364,10401,173271,682529,153830,
florida20,809153,392337,416816,36.2,616056,108899,781759,434883,849,25202,1087,24194,27394,209094,521767,287386,
florida21,785042,378173,406869,45.9,641615,201501,767067,120536,2249,22923,441,19391,17975,198016,563467,221575,
florida22,753363,375200,378163,45.7,617829,165568,733804,111541,1591,22493,446,21940,19559,165952,545526,207837,
florida23,756447,361211,395236,41.4,593860,137835,727712,110474,3817,35644,710,43865,28735,299664,473139,283308,
florida24,784469,380877,403592,36.8,609742,107971,769199,371721,354,11669,112,48308,15270,331349,439499,344970,
florida25,775326,380136,395190,42.6,630173,147636,765227,36179,1050,8252,0,22569,10099,585299,343774,431552,
florida26,790373,389059,401314,39.2,616295,117449,774439,87276,5058,12069,509,45302,15934,568892,402644,387729,
florida27,763812,372094,391718,41.9,628421,140704,750440,35881,265,15734,0,29464,13372,555585,345854,417958,
georgia1,364112,380273,36.1,570138,109215,715480,217918,1520,11663,3137,13521,28905,50819,708697,35688,
georgia2,665539,327152,338387,37.0,510900,105503,645287,340276,1289,7641,540,13586,20252,36737,642685,22854,
georgia3,740700,361367,379333,39.0,565260,114866,723728,188551,3992,16496,894,14394,16972,45194,702910,37790,
georgia4,785104,373317,411787,36.3,591573,95657,768640,472419,1285,49178,2848,31949,16464,76482,643447,141657,
georgia5,793039,380694,412345,32.9,625191,86695,769718,466017,1970,30640,510,19305,23321,52678,721432,71607,
georgia6,754299,378191,376108,39.1,574849,98851,732483,98130,7170,96303,356,11749,21816,93027,591664,162635,
georgia7,803976,390013,413963,36.4,587891,84707,778584,162756,6148,114858,45,60675,25392,158430,594471,209505,
georgia8,714720,351303,363417,36.9,545992,109323,699853,224512,2424,13368,103,12973,14867,46945,682669,32051,
georgia9,765320,375786,389534,40.7,593571,142766,748239,46909,1485,9854,1947,15476,17081,101876,703277,62043,
georgia10,767352,376255,391097,37.2,587368,110981,751295,200069,1096,16337,237,17677,16057,46502,723053,44299,
georgia11,781313,379352,401961,36.7,600386,102184,758822,130277,1696,29460,1934,24954,22491,84514,699314,81999,
georgia12,723334,355303,368031,35.6,554787,102894,702414,252862,789,13873,1279,16403,20920,46212,692886,30448,
georgia13,757521,352704,404817,36.1,560019,85526,731981,451182,1201,21403,128,37993,25540,97758,675082,82439,
georgia14,722873,354741,368132,38.7,548257,107260,706545,67813,2420,4977,91,10493,16328,84580,673815,49058,
hawaii1,357360,351926,39.9,565797,132970,550455,17088,628,351660,52637,5985,158831,66279,545844,163442,
hawaii2,711205,353342,357863,38.8,551439,128497,524261,11237,2609,182819,92334,12067,186944,85077,608500,102705,
idaho1,457663,455287,38.5,687493,155498,884757,6900,14043,13943,2030,32623,28193,99625,861674,51276,
idaho2,841258,424495,416763,35.0,621345,123943,816196,5175,8983,13083,733,26594,25062,122839,787306,53952,
illinois1,333301,373249,39.1,551914,112861,694812,354097,301,17443,103,19255,11738,75300,649831,56719,
illinois2,694459,321210,373249,37.9,524592,111159,680695,393578,1139,6314,95,25713,13764,103443,637454,57005,
illinois3,704050,350554,353496,38.7,538288,108168,688578,35460,3459,31306,158,63289,15472,228203,559949,144101,
illinois4,702062,352971,349091,33.9,534143,71791,682161,28977,3538,24719,188,204348,19901,475571,489031,213031,
illinois5,743699,367389,376310,35.5,608378,95746,717388,22900,1120,63328,187,35743,26311,138791,579602,164097,
illinois6,730345,360402,369943,41.5,561679,119204,710120,17193,955,72910,64,18100,20225,73998,619634,110711,
illinois7,707513,341185,366328,35.0,573343,96514,689869,323450,1095,52122,148,48385,17644,124242,610516,96997,
illinois8,707268,341723,365545,37.0,539778,97618,688398,38308,6590,99254,1736,87930,18870,212650,498879,208389,
illinois9,721481,355134,366347,40.3,564037,126337,695648,68026,1847,95553,771,22005,25833,81079,541135,180346,
illinois10,711265,353539,357726,38.3,544615,109894,691519,44334,3364,82379,422,67579,19746,169408,528525,182740,
illinois11,722584,357375,365209,36.8,543809,90133,692903,76321,3335,58102,418,58508,29681,210124,579852,142732,
illinois12,687072,341016,346056,39.9,536794,117968,669726,117582,1329,8924,110,8331,17346,21908,669600,17472,
illinois13,704211,348155,356056,36.3,563118,111496,686934,77759,1086,31373,0,5983,17277,26122,664354,39857,
illinois14,742235,373029,369206,39.4,552219,102747,720284,28485,1023,28809,186,15912,21951,97239,672362,69873,
illinois15,691196,346943,344253,41.3,537759,133930,679037,31004,1228,3770,282,2998,12159,18636,679033,12163,
illinois16,684888,343108,341780,41.5,539031,124590,669479,25648,1341,11044,176,11562,15409,70798,647500,37388,
illinois17,679926,336379,343547,40.4,529554,126888,657739,80141,1776,10393,245,11838,22187,60034,649371,30555,
illinois18,700276,342649,357627,40.9,542227,133504,684813,29816,1320,20195,28,5299,15463,21322,673139,27137,
indiana1,352539,362217,39.4,553329,118463,688466,130246,1822,9931,405,53964,26290,113541,673247,41509,
indiana2,723483,357600,365883,37.8,546196,118817,700128,49889,2915,9346,504,21096,23355,73761,681452,42031,
indiana3,747060,370187,376873,37.1,556270,115773,725261,45994,2183,17695,630,12431,21799,46403,712203,34857,
indiana4,768025,387277,380748,37.2,594483,118000,750981,31603,1826,24154,120,14054,17044,48814,724915,43110,
indiana5,784462,379112,405350,38.2,596192,116399,761285,67551,1022,31488,466,9337,23177,37508,731845,52617,
indiana6,719771,355251,364520,39.5,562170,127419,706582,20547,731,12177,317,3867,13189,20114,697422,22349,
indiana7,760466,367928,392538,33.9,566389,92272,736376,235061,1900,24608,534,36106,24090,87750,687776,72690,
indiana8,718591,356674,361917,39.9,558736,124660,706249,34314,407,5948,148,5930,12342,18872,702872,15719,
indiana9,755264,369405,385859,37.6,591056,119343,735909,22072,1234,18873,346,5518,19355,25656,725798,29466,
iowa1,383408,390220,38.8,597488,139220,760077,32960,4341,14447,1669,5068,13551,32452,742253,31375,
iowa2,783983,388231,395752,38.0,605811,134426,764019,32975,1578,18719,785,9563,19964,46049,740714,43269,
