districtID,totalPop,male,female,medianAge,18andOver,65andOver,singleRace,black,nativeAmericanAlaskan,asian,pacificIslander,otherRace,multiRace,hispanic,nativeBorn,foreignBorn,
new_jersey12,756016,366721,389295,40.0,590331,116715,731483,133509,1725,127002,342,39776,24533,137269,547027,208989,
new_mexico1,343453,353611,38.5,551116,117458,666380,19749,29381,18398,176,47764,30684,350078,625776,71288,
new_mexico2,700113,351236,348877,36.8,529191,122410,684175,15287,39115,5840,690,37439,15938,390187,617476,82637,
new_mexico3,698251,344952,353299,39.2,534884,128612,677687,11028,132163,9917,1599,59758,20564,288964,653654,44597,
new_york1,357046,361680,42.3,566670,129004,702515,41995,1644,32067,148,10209,16211,114404,628001,90725,
new_york2,709605,346050,363555,40.8,559561,108985,689401,67496,3816,20864,435,41687,20204,169226,586015,123590,
new_york3,707576,344741,362835,45.9,563726,146620,691660,21650,892,125574,86,24909,15916,73370,541412,166164,
new_york4,729582,355474,374108,40.4,567895,125392,708227,111129,5570,53464,656,69259,21355,162277,555218,174364,
new_york5,757972,361166,396806,38.8,593639,110647,728961,379126,3641,110675,717,102284,29011,135856,435579,322393,
new_york6,734183,353451,380732,42.3,597591,130286,709789,28153,3609,292880,52,71968,24394,153419,354874,379309,
new_york7,720811,352133,368678,34.2,551809,84981,685283,73871,3175,121103,973,122882,35528,286681,485583,235228,
new_york8,791211,356607,434604,36.4,621053,118829,763568,404883,1929,49353,77,61137,27643,141315,527844,263367,
new_york9,730957,341274,389683,36.8,577058,110059,705746,347766,1889,57532,80,36135,25211,81623,445389,285568,
new_york10,711678,340996,370682,36.8,571862,114159,686465,22645,2626,134537,87,30890,25213,91548,489781,221897,
new_york11,732886,356897,375989,40.2,571539,123577,709186,58687,958,107802,350,42546,23700,134490,502602,230284,
new_york12,698928,334872,364056,35.8,620147,110208,675403,36314,2940,98828,541,30592,23525,86523,514033,184895,
new_york13,795633,379590,416043,35.6,636127,101638,743872,236352,8199,37783,428,257220,51761,438038,505970,289663,
new_york14,706440,356097,350343,36.9,557086,94455,680438,77660,3261,120878,0,179865,26002,356722,380354,326086,
new_york15,743959,351571,392388,32.1,542855,80341,712766,274909,5635,17342,1700,284182,31193,486485,476487,267472,
new_york16,732981,338664,394317,40.5,572198,127802,706203,239144,2789,36612,305,93276,26778,197260,511972,221009,
new_york17,741445,367580,373865,38.9,562143,124138,718090,77079,1040,47212,163,76114,23355,159483,577107,164338,
new_york18,722226,359634,362592,39.7,557161,110816,695996,71762,1710,21323,426,50516,26230,128645,631426,90800,
new_york19,700310,351564,348746,45.0,571852,144119,678353,35432,1955,11050,11,15319,21957,57945,655507,44803,
new_york20,722529,349913,372616,38.9,580696,123308,691395,69955,2447,37561,1054,12644,31134,49509,654013,68516,
new_york21,701112,362930,338182,41.6,562725,125887,689034,22513,5670,7630,512,8877,12078,24214,674817,26295,
new_york22,697372,344379,352993,41.0,554744,130497,682252,30253,1584,22291,111,8045,15120,27245,654698,42674,
new_york23,693764,345865,347899,40.7,557276,130512,677902,20315,4333,16129,214,10620,15862,28333,666173,27591,
new_york24,701664,343248,358416,40.2,555271,122161,681738,62932,3461,17694,105,5772,19926,32587,656900,44764,
new_york25,718565,345959,372606,38.9,568837,123290,696273,111729,3122,28244,171,15041,22292,66334,653613,64952,
new_york26,707190,338199,368991,38.5,563727,123251,681734,128856,2773,31890,22,21067,25456,49758,642049,65141,
new_york27,712904,355413,357491,44.5,572276,137103,702304,16653,3644,7795,0,6789,10600,19233,687627,25277,
north_carolina1,364971,396116,37.8,600553,126081,739530,330488,6460,16290,251,23023,21557,70296,703976,57111,
north_carolina2,858938,419435,439503,38.7,638159,117604,825583,159101,3663,19838,1081,32078,33355,90028,792206,66732,
north_carolina3,756375,386059,370316,37.9,591177,132134,728940,153235,3427,10733,641,12615,27435,61432,728900,27475,
north_carolina4,871589,419660,451929,35.3,686773,102109,839654,195920,3458,77259,283,37619,31935,89730,743174,128415,
north_carolina5,762960,371305,391655,41.5,603611,138964,748231,114729,4205,12012,1797,14266,14729,73619,715243,47717,
north_carolina6,772716,375109,397607,41.0,602123,136131,755678,158359,2592,14553,588,29388,17038,78637,717343,55373,
north_carolina7,809820,393260,416560,41.9,643129,160657,791564,154737,5022,6822,467,15679,18256,77660,760188,49632,
north_carolina8,797935,394779,403156,36.8,607866,119587,766283,180732,8295,21862,3111,26740,31652,88667,745023,52912,
north_carolina9,792434,384736,407698,39.2,593040,122555,772809,153740,61608,29200,438,17248,19625,63584,730651,61783,
north_carolina10,762919,364324,398595,42.4,603508,140903,746000,96167,1944,13014,302,19999,16919,50383,726964,35955,
north_carolina11,768166,377923,390243,45.6,624815,173932,751547,22893,10898,8484,555,14037,16619,51563,732306,35860,
north_carolina12,880550,423306,457244,34.0,676855,87139,856303,333074,4034,48882,309,64917,24247,136316,740230,140320,
north_carolina13,788131,377377,410754,39.2,615153,130778,763355,169358,5239,27733,395,19021,24776,63614,723239,64892,
north_dakota1,391222,368855,35.4,585363,116433,742510,25896,41270,13749,339,9569,17567,27444,724253,35824,
ohio1,364833,376146,37.4,566639,111917,717357,153148,1049,27695,0,6680,23622,26112,688383,52596,
ohio2,734712,355233,379479,39.3,567593,119527,717473,71218,1183,14023,1326,2967,17239,15103,710949,23763,
ohio3,812264,392688,419576,32.4,612979,84005,773156,276374,2310,37678,68,21435,39108,57550,702761,109503,
ohio4,707219,354005,353214,40.8,550176,123452,689291,35888,3610,8129,74,4479,17928,27388,693237,13982,
ohio5,717088,350558,366530,40.7,556664,130512,695508,18872,1250,9691,857,10590,21580,37722,698081,19007,
ohio6,694694,347597,347097,43.7,548138,139032,681080,15368,1304,3887,0,2074,13614,6563,687351,7343,
ohio7,734091,359617,374474,40.4,562727,135066,716033,28285,1645,4713,0,3780,18058,18719,720087,14004,
ohio8,731637,359483,372154,39.6,562030,123430,710441,44808,1248,16544,0,6862,21196,26611,701167,30470,
ohio9,716235,353828,362407,37.9,559047,112349,679557,112356,3161,10655,503,19485,36678,84049,684336,31899,
ohio10,725301,352360,372941,38.9,566809,128971,699878,121710,1847,17383,414,5073,25423,21916,692339,32962,
ohio11,678001,314509,363492,39.5,538929,119878,652949,355642,1791,17489,327,8207,25052,29751,641485,36516,
ohio12,789634,393211,396423,38.7,607397,123476,762902,36840,1594,36877,136,3733,26732,20689,741933,47701,
ohio13,707603,342793,364810,40.8,569647,132490,685488,82532,977,15332,37,5696,22115,26042,683798,23805,
ohio14,720551,353710,366841,43.9,566895,145548,706481,35441,569,16156,355,4629,14070,23393,680529,40022,
ohio15,759569,382574,376995,38.9,598278,120773,738945,36182,1063,19593,86,2709,20624,17367,727872,31697,
ohio16,719864,355096,364768,43.1,565058,145737,704505,21642,1071,15917,45,3737,15359,16943,679551,40313,
oklahoma1,391856,411173,36.5,601846,120002,742097,70321,48932,24819,391,18950,60932,94133,740234,62795,
oklahoma2,747632,370798,376834,39.8,573557,141541,668363,24525,133425,4307,1191,10733,79269,40658,732449,15183,
oklahoma3,778026,392012,386014,37.0,592156,125904,728507,30541,44811,10533,362,24589,49519,80140,740732,37294,
oklahoma4,791927,393860,398067,36.1,607573,118261,729254,52439,43374,18498,1156,21846,62673,73895,754077,37850,
oklahoma5,822465,401550,420915,35.0,611627,113893,771114,109854,36641,26537,759,33895,51351,140253,738705,83760,
oregon1,425122,433788,38.1,669145,127814,815790,18791,5374,69904,4836,33889,43120,128145,728573,130337,
oregon2,831343,415415,415928,42.4,653071,173438,801496,5956,15829,10435,1882,15377,29847,118199,775477,55866,
oregon3,841456,418141,423315,37.9,680020,114251,799695,42053,7899,66538,5304,12169,41761,97391,724958,116498,
oregon4,814998,403336,411662,41.2,663509,173359,772354,5543,10607,21313,1621,24402,42644,66962,767940,47058,
oregon5,844006,417929,426077,39.5,652380,150749,804156,9703,9342,22490,5115,52136,39850,145700,761355,82651,
pennslyvania1,351273,362412,43.8,569027,131951,697459,28311,551,45393,638,11729,16226,41311,636445,77240,
pennslyvania2,727380,349229,378151,35.3,549355,97633,699835,196199,2602,57767,315,109753,27545,190084,594387,132993,
pennslyvania3,736340,344031,392309,33.7,598696,101895,707654,407657,1523,44326,267,11151,28686,40023,664575,71765,
pennslyvania4,727449,354684,372765,41.2,570761,129655,707299,70160,305,47999,299,10186,20150,36269,652640,74809,
pennslyvania5,718076,343257,374819,38.1,558406,115180,699942,182343,1967,49895,0,5531,18134,33639,624194,93882,
pennslyvania6,734876,359769,375107,39.2,561879,117746,713817,48066,508,32630,0,32478,21059,115981,655387,79489,
pennslyvania7,731168,358892,372276,40.3,578135,130877,704615,52692,2117,23923,1022,32316,26553,142642,655351,75817,
pennslyvania8,696956,343402,353554,43.3,556796,136309,677637,41398,821,13750,462,19021,19319,86241,642884,54072,
pennslyvania9,702489,351698,350791,44.2,564312,140541,691028,19626,644,8666,137,18873,11461,49849,680849,21640,
pennslyvania10,734849,359880,374969,40.0,572564,126901,710827,85298,1534,28041,353,13980,24022,61607,685888,48961,
pennslyvania11,737394,364048,373346,40.1,569443,135491,720345,28887,1971,14129,493,18436,17049,69093,700581,36813,
pennslyvania12,701192,349828,351364,40.9,562461,134560,692077,14903,1746,13706,251,4106,9115,17337,680088,21104,
pennslyvania13,692835,342833,350002,44.3,553951,143768,676511,20284,729,3812,28,4340,16324,22858,676554,16281,
pennslyvania14,684084,335660,348424,45.7,554616,146513,671680,21422,380,6459,324,1309,12404,9612,672849,11235,
pennslyvania15,680927,347886,333041,44.5,554383,141099,670374,11851,792,5334,174,2896,10553,10122,670979,9948,
pennslyvania16,686525,337388,349137,42.6,547405,134058,670982,32918,1349,8556,63,4596,15543,18201,667115,19410,
pennslyvania17,717264,352802,364462,43.4,572579,139791,699281,43985,628,22145,25,3182,17983,13090,682566,34698,
pennslyvania18,683571,325060,358511,38.7,564674,128401,662152,122406,1251,28496,157,3689,21419,16804,641143,42428,
puerto_rico1,1520415,1674738,42.9,2601143,661216,3041937,400936,4013,5144,767,551773,153216,3154017,3109805,85348,
rhode_island1,260733,271857,39.5,428714,92707,514623,45855,1707,16633,723,42630,17967,100684,443259,89331,
rhode_island2,524725,255167,269558,40.3,424693,89938,509962,24894,2634,19431,160,17113,14763,67657,474993,49732,
south_carolina1,395270,414340,40.0,637589,147364,789157,154046,2094,15292,1334,20133,20453,54494,757342,52268,
south_carolina2,717231,349519,367712,38.7,553099,116090,700984,176461,1504,14979,171,13521,16247,44177,682193,35038,
south_carolina3,697467,343126,354341,41.0,549360,130586,681374,126928,1989,5646,231,11789,16093,36902,672171,25296,
south_carolina4,736750,356573,380177,38.2,568368,117625,716969,135926,5485,19469,1314,18275,19781,63356,674954,61796,
south_carolina5,731341,353760,377581,40.3,563276,123080,713673,194577,3419,9808,86,10826,17668,33024,704898,26443,
south_carolina6,659483,320260,339223,35.6,523469,104369,639587,361797,2260,7989,772,10462,19896,30569,632928,26555,
south_carolina7,732245,350199,382046,43.8,584557,160640,721186,203864,6921,7786,96,7974,11059,31980,702876,29369,
south_dakota1,445271,436964,37.2,667772,146358,858851,19057,78068,15023,51,5782,23384,33983,847060,35175,
tennesse1,352969,367389,43.9,578249,148230,707259,15508,2400,5702,972,4987,13099,28015,699233,21125,
tennesse2,753229,367457,385772,39.8,597154,135135,736812,46359,2039,11840,0,6770,16417,32404,723396,29833,
tennesse3,736889,357383,379506,41.8,584712,137889,720401,78236,1735,9583,1068,4345,16488,31603,712114,24775,
tennesse4,798482,394578,403904,37.7,613938,118257,776061,76824,2861,14313,266,16834,22421,53007,756725,41757,
tennesse5,777696,376734,400962,35.0,613750,97098,758442,190935,1173,25828,852,24721,19254,75284,679471,98225,
tennesse6,784725,388328,396397,40.8,607353,138856,764412,36384,1507,7195,593,11154,20313,34953,755490,29235,
tennesse7,786523,388697,397826,37.9,591027,116325,768011,81711,4170,16825,1669,6718,18512,41102,754055,32468,
tennesse8,699385,341210,358175,41.3,539101,124434,685397,132504,2134,15446,0,5288,13988,26572,670115,29270,
tennesse9,712723,334835,377888,33.9,535351,88573,701423,479340,1117,12314,74,20336,11300,49961,670849,41874,
texas1,352392,373163,37.0,547720,120273,711118,125469,3590,9682,874,9216,14437,132292,666974,58581,
texas2,803041,395581,407460,35.3,599725,95769,785768,104364,3093,61941,288,85581,17273,253375,643848,159193,
texas3,899784,443593,456191,37.4,668954,101408,873965,90453,4334,151334,154,22972,25819,135640,692689,207095,
texas4,759648,375616,384032,39.4,572626,126918,739424,84201,5608,9424,56,26424,20224,114300,712715,46933,
texas5,749808,375687,374121,35.9,552533,103839,731478,118355,3988,13423,471,30494,18330,218116,639934,109874,
texas6,804816,392405,412411,35.4,596930,93745,771387,173170,5190,40475,785,35065,33429,184231,709540,95276,
texas7,775198,369140,406058,35.2,578901,84625,750738,118712,4713,88329,452,53747,24460,234636,534530,240668,
texas8,871420,441580,429840,37.5,651553,120514,850212,71309,2727,27241,367,22294,21208,208341,758980,112440,
texas9,786925,390386,396539,33.1,587430,80357,772928,298391,2319,93502,227,112833,13997,307972,517640,269285,
texas10,896798,446389,450409,35.9,671283,115433,866850,96895,6400,56253,255,71815,29948,256821,747427,149371,
texas11,782337,395795,386542,35.2,583052,123087,765271,32729,6674,9738,298,39328,17066,305407,713061,69276,
texas12,812102,395387,416715,35.9,615593,105145,787566,69789,5536,32593,1222,34625,24536,190147,730217,81885,
texas13,711672,362295,349377,36.3,534828,108808,693431,41595,5395,16293,861,23173,18241,196867,645329,66343,
texas14,763380,385859,377521,37.1,577835,106186,742196,149184,2489,23569,1184,24467,21184,194378,682394,80986,
texas15,795511,392834,402677,30.7,554280,85941,781572,17538,1876,9974,9,69565,13939,645358,616835,178676,
texas16,733764,364458,369306,32.5,537128,91704,709522,25247,2619,10354,1246,95537,24242,595345,562561,171203,
texas17,793513,391197,402316,32.3,607071,98336,775225,102109,3110,42096,373,11538,18288,210482,698343,95170,
texas18,801885,403768,398117,32.5,593816,76522,785432,288465,3717,31511,1622,72098,16453,343799,623465,178420,
texas19,731759,368432,363327,33.3,548562,100356,709715,45575,6035,13229,580,43292,22044,276461,669194,62565,
texas20,846337,418716,427621,31.6,619922,93978,819929,46037,8866,25393,310,40498,26408,595290,719306,127031,
texas21,818281,402703,415578,37.9,662092,131351,788445,32770,2881,29039,732,27933,29836,236012,738233,80048,
texas22,935386,466242,469144,36.3,676882,104393,912325,136922,2278,181244,107,33809,23061,254441,688161,247225,
texas23,794879,402774,392105,34.6,578864,105863,779300,30583,4834,19335,788,56224,15579,548671,659599,135280,
texas24,817147,399073,418074,36.0,628127,91697,793472,110412,3351,117466,1797,47511,23675,203656,604464,212683,
texas25,786976,396266,390710,37.2,599483,115659,761319,69290,3302,28624,306,22396,25657,149693,724197,62779,
texas26,894192,444110,450082,35.4,660558,90210,858042,78576,7743,68168,590,21757,36150,169223,778858,115334,
texas27,739719,364530,375189,36.8,555181,118955,724879,41344,2329,11994,648,35602,14840,396568,674485,65234,
texas28,768719,372334,396385,31.7,530987,89807,752446,32159,1070,5791,145,31281,16273,602429,617514,151205,
texas29,765435,391147,374288,31.0,537017,64441,755887,70548,4281,13968,645,107513,9548,612292,512007,253428,
texas30,804679,391249,413430,32.7,576166,86687,789648,336430,2283,14962,413,31025,15031,318402,660113,144566,
texas31,883347,435632,447715,35.2,654667,106381,841318,109176,2772,47493,2160,20875,42029,221869,781612,101735,
texas32,769852,377037,392815,35.8,599247,95901,747596,102562,6032,72675,277,46780,22256,202062,585295,184557,
texas33,777745,393163,384582,30.5,540569,68640,760877,122972,4995,17897,701,152322,16868,524674,520463,257282,
texas34,727688,366631,361057,33.5,514468,101984,720293,7703,1723,5342,166,34347,7395,618938,588171,139517,
texas35,818369,414562,403807,33.1,625785,83304,794048,70848,7018,14993,157,96876,24321,505374,681744,136625,
texas36,754178,371221,382957,37.0,562526,111382,734233,75145,4826,15512,197,18632,19945,205282,673922,80256,
utah1,391666,385244,31.1,542040,82802,752805,10269,8207,11260,2742,18326,24105,100753,735919,40991,
utah2,779772,395806,383966,33.0,571202,104260,755184,9845,9239,18207,8365,64551,24588,123282,707283,72489,
utah3,773622,389039,384583,28.4,545758,85042,749779,7338,10730,15232,8159,15397,23843,83614,715644,57978,
utah4,830801,415946,414855,31.3,570274,79193,802186,12913,6502,31199,10096,73182,28615,142571,731037,99764,
vermont1,308118,318181,43.1,510772,123875,613514,7621,1743,11859,139,2815,12785,12450,595486,30813,
virginia1,402022,411856,38.6,619403,123912,779581,132600,2333,27329,377,30862,34297,97345,738726,75152,
virginia2,743410,368693,374717,36.2,585280,112245,706976,149840,2357,44229,479,18438,36434,63771,676387,67023,
virginia3,744804,362348,382456,34.9,577378,100426,711396,340644,2653,22057,684,15163,33408,47779,701997,42807,
virginia4,747291,362363,384928,38.7,596774,115128,724861,306710,1588,13221,343,7770,22430,43787,706895,40396,
virginia5,739410,362094,377316,42.8,594390,150340,714747,140674,1832,14640,145,3402,24663,25036,707762,31648,
virginia6,755437,366278,389159,39.9,603009,141158,732326,86070,1610,12942,101,6810,23111,44633,713502,41935,
virginia7,812385,395800,416585,39.3,622337,128234,780305,155347,1925,40821,448,18065,32080,60656,734712,77673,
virginia8,795467,390982,404485,36.2,629953,96724,757054,121753,1744,91310,949,37495,38413,141997,570896,224571,
virginia9,704831,351127,353704,43.5,576130,145820,694577,36880,1624,11649,648,3036,10254,14305,689571,15260,
virginia10,862308,431724,430584,38.4,634862,108403,818266,57551,1581,138104,682,27634,44042,117246,668976,193332,
virginia11,798464,397307,401157,36.7,608529,95835,748092,103443,3018,139120,803,47068,50372,156255,543185,255279,
washington1,386186,382177,38.2,583516,101663,733450,10649,9426,92675,1210,25332,34913,68076,640703,127660,
washington2,755546,374958,380588,38.2,608636,125330,708856,23666,8211,74185,3994,25951,46690,87379,638100,117446,
washington3,743322,368445,374877,40.2,572266,128758,702615,9261,8275,23483,5570,17874,40707,73378,679702,63620,
washington4,735031,370322,364709,34.0,522903,103987,704403,11227,19925,13040,559,107163,30628,292354,608745,126286,
washington5,725964,359510,366454,37.9,571894,125841,692018,11197,12465,18559,3826,14465,33946,49583,681003,44961,
washington6,731742,370118,361624,41.5,588529,147594,676670,23020,13441,32278,5372,10233,55072,57204,681358,50384,
washington7,799589,404348,395241,36.0,675465,114120,745373,32500,3442,104256,2594,22680,54216,62587,655406,144183,
washington8,754721,373342,381379,39.0,571491,102853,707376,23330,8189,71094,4732,39906,47345,85384,640592,114129,
washington9,765285,386508,378777,36.7,601309,103032,716158,97348,5106,178518,12410,55554,49127,101779,534981,230304,
washington10,756028,373122,382906,35.7,577643,110809,696039,49610,8849,53693,13657,25695,59989,92629,670151,85877,
west_virginia1,302832,303304,41.8,490837,120219,594423,16341,833,5765,13,1988,11713,7663,597540,8596,
west_virginia2,624120,308616,315504,42.7,492074,120355,610895,28834,1352,5377,269,3319,13225,13528,610287,13833,
west_virginia3,575576,283209,292367,44.0,459696,120642,566103,23504,444,2317,169,1123,9473,4378,570400,5176,
wisconsin1,357055,360661,41.1,555953,118576,698696,40798,1898,13495,262,13767,19020,72096,678473,39243,
wisconsin2,768067,381487,386580,36.9,607943,115716,743552,33402,3727,33480,194,12207,24515,51357,712478,55589,
wisconsin3,724568,364060,360508,39.0,574559,129906,710705,7846,3486,17386,142,7457,13863,20380,705087,19481,
wisconsin4,710573,343598,366975,32.9,532098,86994,679706,234575,3294,31139,268,59336,30867,127197,639358,71215,
wisconsin5,731341,358554,372787,41.3,576328,132502,717464,21218,2076,24913,158,9253,13877,42129,690610,40731,
wisconsin6,714886,361506,353380,41.9,565783,132131,701406,15080,3448,17053,123,5516,13480,33423,690802,24084,
wisconsin7,710420,357492,352928,44.7,558681,144611,696490,5661,13419,12134,538,4104,13930,17298,692143,18277,
wisconsin8,735997,367530,368467,40.7,570118,126047,719036,12052,19016,15780,276,9835,16961,39953,706689,29308,
wyoming1,292619,285118,38.5,444641,96557,564021,3667,16185,5807,1111,8798,13716,57895,560209,17528,
