nonLaborForce,unemploymentRate,meanCommute,
202931,4.7,39.4,
251965,5.9,44.6,
210733,4.6,45.8,
184177,4.9,32.4,
240277,4.4,47.3,
170697,3.4,31.5,
248253,7.3,41.6,
199516,5.6,43.4,
233823,11.4,43.4,
221248,6.4,40.4,
205374,5.1,33.8,
207435,4.5,35.3,
240980,4.7,28.3,
214265,5.3,22.2,
239773,4.2,22.6,
235091,4.5,21.7,
238340,4.6,20.7,
223246,5.6,20.6,
216638,5.2,20.4,
225720,4.1,20.0,
225543,3.7,24.4,
248507,6.3,23.4,
227214,4.2,29.2,
237029,6.7,23.5,
212095,3.4,23.8,
253337,5.1,23.5,
244009,4.9,26.0,
285095,5.2,23.6,
233141,5.7,24.2,
241492,4.7,27.3,
242955,5.3,24.8,
276356,4.4,23.0,
195527,4.4,26.4,
239757,5.5,23.0,
183103,2.8,17.7,
203150,4.1,25.2,
210952,4.0,24.9,
202134,5.8,21.8,
217915,4.1,22.4,
206255,3.8,21.1,
255172,5.0,26.3,
217788,4.3,24.0,
214751,4.6,24.0,
207907,7.2,22.1,
219008,5.9,21.6,
221549,9.0,23.7,
214455,3.8,24.8,
222932,6.7,22.3,
209967,4.2,24.6,
237457,3.6,25.2,
208185,3.3,24.2,
218662,4.5,20.8,
278000,5.6,24.0,
242397,3.9,21.7,
238264,3.9,22.8,
220080,4.1,21.8,
228487,4.0,26.3,
284675,6.2,19.0,
211198,4.2,27.0,
296711,6.2,20.3,
258016,4.9,24.9,
187600,3.9,30.6,
236326,7.6,35.2,
223901,8.6,33.9,
186753,4.1,29.1,
205465,5.7,31.0,
185416,4.7,27.4,
220340,5.8,26.5,
229540,4.7,26.8,
224845,4.4,25.2,
204683,4.4,22.7,
201659,3.6,24.8,
248356,4.1,24.1,
228599,4.3,25.3,
228725,4.3,26.6,
242543,4.2,24.8,
225944,4.9,22.0,
202010,4.1,26.5,
211835,4.5,26.9,
1500127,15.1,30.3,
161949,6.3,24.9,
157145,4.8,25.1,
237458,3.4,26.3,
205330,5.7,24.8,
242340,5.6,25.4,
211760,4.5,23.5,
229855,5.0,27.0,
228347,7.4,25.6,
275006,6.0,23.2,
219693,3.0,17.3,
273964,5.7,23.1,
239762,4.5,23.4,
247812,7.1,24.4,
228167,5.5,27.9,
184270,3.5,25.5,
248371,3.9,28.8,
247780,5.3,27.7,
230584,5.1,24.9,
199663,9.5,22.2,
238733,5.7,23.4,
196421,5.0,29.1,
207466,3.7,28.1,
240203,4.9,27.4,
223952,4.0,32.1,
186332,3.9,28.5,
175940,4.8,28.9,
261992,3.5,31.7,
200770,6.7,30.3,
221285,4.1,28.6,
222161,3.5,22.6,
218165,4.4,28.4,
207118,4.4,19.8,
241173,5.8,25.9,
231645,5.2,23.8,
209782,6.5,23.0,
242500,4.3,21.8,
211580,5.8,28.7,
217155,4.4,17.6,
212030,6.8,25.7,
233394,3.4,25.7,
229186,4.8,32.0,
251550,4.4,26.8,
172158,3.3,23.7,
232131,4.9,27.5,
189938,4.4,29.6,
229874,5.7,22.2,
227194,6.6,24.7,
195614,5.9,28.6,
223359,4.6,29.5,
218350,5.6,26.4,
179135,4.1,27.3,
189744,6.8,27.3,
246093,5.2,21.6,
222297,5.3,26.6,
244736,6.0,27.8,
180496,3.0,21.6,
209343,3.3,20.8,
184973,2.8,21.4,
167265,3.5,23.8,
180256,3.8,23.6,
205570,3.7,35.4,
193487,4.6,23.7,
203432,5.7,24.4,
226603,4.7,25.4,
257097,4.3,26.3,
249204,4.9,24.6,
218439,4.3,28.1,
157790,2.8,31.8,
300662,4.9,23.4,
188477,3.1,34.3,
175028,4.3,33.7,
197649,3.4,31.8,
221733,4.1,28.7,
228866,5.0,27.3,
208725,5.3,20.4,
243637,5.0,21.1,
248437,4.2,29.4,
190483,3.5,28.7,
192332,3.4,32.5,
194232,4.7,30.7,
218295,5.0,30.3,
219864,6.1,23.9,
223630,5.5,28.1,
255467,5.8,27.7,
191542,4.1,25.3,
184745,2.3,21.6,
213959,3.3,21.3,
196695,4.8,22.0,
195290,2.6,23.1,
203208,3.1,21.0,
211311,3.0,22.2,
200233,2.5,19.7,
157291,3.9,16.2,
